Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName
-------  ------    -----      -----     ------     --  -- -----------
    171      10     2464       7540       0.28   3204   0 aesm_service
    490      28    25404      34504       0.89  16832   1 ApplicationFrameHost
    145       8     1620       5212       0.47   5748   0 ApsInsSvc
    135       9     1720       7124       0.05   1668   1 browser_broker
    661      30   117312     130712      23.44   2508   1 Code
    462      96   232044     258268       9.09   2960   1 Code
    390      40    56592      74080       4.53   6312   1 Code
    244      36    53764      69588       3.28   6644   1 Code
    245      16     6324      11000       0.00  12764   1 Code
    499      65   171992     206288      72.91  15432   1 Code
    239      20    21560      36840       0.20  16536   1 Code
    824      45    40596      79272      33.22  17996   1 Code
    208      14     7796      11156       0.05  13456   1 CodeHelper
    164      11     6376       6400       0.11  13256   1 CodeSetup-stable-b37e54c98e1a74ba89e03073e5a3761284e3ffb0
    329      21    22300      17696       7.11  16228   1 CodeSetup-stable-b37e54c98e1a74ba89e03073e5a3761284e3ffb...
    844      40    69796      52932       4.91   5780   0 com.docker.service
    159       7     1772       8080       0.13  12336   1 CompPkgSrv
    118       7     6432       4616       0.03   4676   0 conhost
    121       8     6520       4820       0.08   7244   1 conhost
    171      11     2056       7920       0.05  12900   1 conhost
    115       8     6520       5164       0.06  14696   1 conhost
    105       8     1308       6408       0.02  16124   1 conhost
    298      16     5396      16028       8.67  17060   1 conhost
    115       8     6528      11068       0.03  19152   1 conhost
    917      28     2032       4252       4.06   1012   0 csrss
    874      26     2680       5416      27.61   1172   1 csrss
    484      16    14684      21608      14.80   4492   1 ctfmon
    386      15     4284       9888       4.28   7372   0 dasHost
    396      18    26324      28372       1.84   5856   0 DAX3API
    170       9     1752       7076       0.14   9200   1 DAX3API
    197      13     3560       7388       0.09  18136   0 DbxSvc
    205      17     4284      10804       0.33  11668   0 dllhost
    230      19     4876      10648       0.19  15424   1 dllhost
    117       7     1404       5796       0.05  19736   1 dllhost
    177      12     1976       7184       0.06  13212   1 Dropbox
   4322     156   210792     160852      57.89  16268   1 Dropbox
    336      15     3248      10480       0.34  19460   1 Dropbox
    221      14     2068       1092       0.42   4224   0 DropboxUpdate
   1490      44    96644      92084     777.05   1812   1 dwm
    220      13     2200       8680       0.36   5996   0 EasyResume
    106       7     1556       4864       0.05   5804   0 esif_uf
    359      18     6404      13340       1.11   5896   0 EvtEng
   2344      88    63100     144536     282.89   8928   1 explorer
    242       8     1668       5988       0.36   5844   0 FMService64
     32       5     1708       2548       0.11   1428   0 fontdrvhost
     32       9     4320      10040       9.25   1580   1 fontdrvhost
    161      10     1656       1136       0.09  10676   0 GoogleCrashHandler
    140       9     1660       1108       0.08  10744   0 GoogleCrashHandler64
    192      10     2232       7392       0.34   2716   0 ibmpmsvc
      0       0       60          8                 0   0 Idle
    173      10     2080       7660       0.17   3576   0 igfxCUIService
   1129      26     8548      23560      11.36   8304   1 igfxEM
    267      11     5700       9672       0.48  12316   1 igfxext
    398      23    30308      16732       2.28   5888   0 IntelAudioService
    147       8     1688       6208       0.13   5764   0 IntelCpHDCPSvc
    134       7     1564       5788       0.16   7720   0 IntelCpHeciSvc
    189      10     1976       6840       0.23   2696   0 LITSSvc
    276      14     3428      10780       1.55   5960   0 LMS
    554      27    14724      55480       4.30  12892   1 LockApp
     43       6     1168       2540       0.08   1248   0 LsaIso
   1814      24    10100      19720      23.30   1256   0 lsass
      0       0      956     310812       8.61   3472   0 Memory Compression
    780      50    53628        908       0.83  20036   1 Microsoft.Photos
    897      46    23472       5652       0.91   5548   1 MicrosoftEdge
    483      20     5972      21216       0.16  18512   1 MicrosoftEdgeCP
    262      13     3924       8632       0.06  20212   1 MicrosoftEdgeSH
    984      83   279548     245284     480.61  20108   0 MsMpEng
    196      16     8000      11376      13.52  19476   0 NisSrv
    267      13     3968      11540       1.78   3140   0 NVDisplay.Container
    543      24    26964      28116      11.31   3444   1 NVDisplay.Container
    225      14     3568      11076       0.45   6196   0 NvTelemetryContainer
    133       8     1692       6524       0.09   5568   0 nvwmi64
    219      13     6996      11780       5.80   5756   1 nvwmi64
    840      31    37820      44724      12.25   5812   0 OfficeClickToRun
   4290      75   149044     230436     129.42  17968   1 OUTLOOK
    398      94   174564     135028     143.92  16560   1 pia-client
    343      18     7596      18760      17.61   5836   0 pia-service
    412      22     5876       3512       6.42   9072   1 PowerMgr
   2072      82   157752     251920     295.72  18088   1 POWERPNT
   1286      73   365204     375304      36.73   8440   1 powershell
    907      51   152972     125876      12.44  13116   1 powershell
   1190      73   248440     293140      22.98  19272   1 powershell_ise
    233      28    24848      15532       0.53   8104   0 PresentationFontCache
    290      32    38464      37652       0.75   3980   1 QtWebEngineProcess
    344      38    50720      58248       2.83   6760   1 QtWebEngineProcess
    290      31    41812      30308       0.42  12088   1 QtWebEngineProcess
    327      33    37740      38200       0.83  12176   1 QtWebEngineProcess
      0      13    10108      77580       2.14    148   0 Registry
    178      10     2164       7716       0.09   5952   0 RegSrvc
    299      12     2408       8620       0.66   5912   0 RtkAudUService64
    237      10     2116       7320       0.20   9596   1 RtkAudUService64
    311      12     2508       1924       0.56  14472   1 RtkAudUService64
    136       8     1680       6744       0.06  10764   1 RuntimeBroker
    320      18     6364      23596       7.97  11480   1 RuntimeBroker
    713      31    14928      41240       4.14  12160   1 RuntimeBroker
    127       7     1896       6316       0.08  13164   1 RuntimeBroker
    399      22     9080      30704       7.13  13304   1 RuntimeBroker
    535      23     8040      29180       2.08  13396   1 RuntimeBroker
    212      11     2716      14500       0.19  16036   1 RuntimeBroker
    351      18     4504      19424       4.22  17320   1 RuntimeBroker
    428      21    12424      32884       0.36  19000   1 RuntimeBroker
    385      16     4452      16420       0.36  20192   1 RuntimeBroker
    692      67    15548       6408       5.11  13204   1 SamsungMagician
    130       7     1392       6164       0.02   6876   0 SearchFilterHost
   1041      50    60748      69288     126.27  11792   0 SearchIndexer
    270      10     1888       7848       0.03     32   1 SearchProtocolHost
    375      12     2408      12148       0.02  19500   0 SearchProtocolHost
   1441      94   115196     193916      19.92  11616   1 SearchUI
      0       0      184      74312       0.00     88   0 Secure System
    373      15     4152      13416       1.05  13808   0 SecurityHealthService
    152       9     1928       8008       0.14  13684   1 SecurityHealthSystray
    887      12     6588      10124      16.09   1228   0 services
    294      14     3368       5428       0.31  17116   1 SettingSyncHost
    101       6     5672       6124       1.33   6376   0 SgrmBroker
   1083      40    39220      96360       9.73  12956   1 ShellExperienceHost
    244      12     2700       9304       0.66   8736   1 shtctky
    694      19     9340      27816      14.34   4012   1 sihost
    477      37    15624      18336       0.73  15828   1 SkypeApp
    154       8     2136       3248       0.25  12004   1 SkypeBackgroundHost
     53       3     1156       1052       0.22    672   0 smss
    148       9     1620       6480       0.11  15376   0 SocketHeciServer
    514      27     7380      15896       3.81   5136   0 spoolsv
    227      10     4660      12472       0.16  19548   0 sppsvc
    741      35    31768      72860       9.45   3264   1 StartMenuExperienceHost
   1158      62   201828     156768   2,034.67  12996   1 SugarSync
    163      10     2220      11468       0.38   1152   0 svchost
     86       5      960       3496       0.02   1384   0 svchost
    255      13     2760       9772       1.52   1404   0 svchost
   1386      24    14832      30488      24.00   1408   0 svchost
    180       7     1620       5440       0.39   1576   0 svchost
   1652      20    11120      17528      42.80   1660   0 svchost
    339      11     3380       8116       2.73   1736   0 svchost
    104      10     1220       4448       0.05   1992   0 svchost
    505      16    19888      16188       5.78   2096   0 svchost
    436      18     7228      15180       5.00   2104   0 svchost
    225      13     2800      10812       0.56   2176   0 svchost
    254      10     2300       7884       0.20   2184   0 svchost
    185      39     9360      11712       6.41   2328   0 svchost
    254      10     3032       9128       2.08   2336   0 svchost
    125       8     1636       6260       0.08   2472   0 svchost
    264      11     2828       7488      17.17   2524   0 svchost
    123       9     1752       5696       0.08   2788   1 svchost
    262      13     2684      10524       0.20   2844   0 svchost
    314      14     3872       8220      83.55   2904   0 svchost
    416      17     6036      12472      23.45   2968   0 svchost
    178      11     2524       9352       1.39   3008   0 svchost
    206      11     6664      14232      34.17   3020   0 svchost
    223      12     2564      10032       0.50   3164   0 svchost
    988      15     4096       9140      24.11   3224   0 svchost
    267       7     1344       5176       0.19   3324   0 svchost
    229      12     2768      12532      11.92   3332   0 svchost
    189       9     2168       7180       0.42   3344   0 svchost
    187      12     2116       7800       0.58   3544   0 svchost
    198       9     2208       7092       5.80   3584   0 svchost
    201      10     1992       7252       1.95   3660   0 svchost
    165      10     1948       7760       6.80   3668   0 svchost
    279      14     4104      17064       8.22   3916   0 svchost
    474      18     9100      24368       4.50   4072   1 svchost
    719      25     9924      38360       9.86   4120   1 svchost
    450      24     6012      18492       2.39   4264   0 svchost
    168       9     1900       6824       0.09   4448   0 svchost
    383      13     3312      13020       3.83   4500   0 svchost
    374      14     3228       8956       3.69   4716   0 svchost
    141      10     1920       6104       0.91   4732   0 svchost
    557      21     7400      17140       3.48   4936   0 svchost
    248      14     3124      12880       0.59   5092   0 svchost
    295      16     3984      14048       0.84   5184   0 svchost
    440      34    19560      22808      37.47   5208   0 svchost
    191      11     2292       7412       1.25   5284   0 svchost
    196      10     2552       6636       1.94   5424   0 svchost
    204      11     2320       7768      15.69   5512   0 svchost
    225      12     3044      10476       6.39   5656   0 svchost
    234      12     2400       9052       0.20   5772   0 svchost
    317      29     6444      15352       4.94   5788   0 svchost
    405      23    45088      52668      64.41   5820   0 svchost
    215       9     2204       6724       0.59   5828   0 svchost
    273      14     2936       7768       5.94   5872   0 svchost
    766      16    10484      19140      17.47   5880   0 svchost
    444      21     5572      22320       3.19   5936   0 svchost
    135       9     1624       5456       0.09   5968   0 svchost
    136       7     1300       4780       0.06   5980   0 svchost
    591      27    17500      26004       9.73   5988   0 svchost
    510      19     4440      11768       8.25   6584   0 svchost
    285      21     2608       6848       4.94   6800   0 svchost
    398      24     3508      10656       0.55   6820   0 svchost
    109       7     1344       4652       0.27   6860   0 svchost
    179      13     2092       7692       0.13   7984   0 svchost
    227      12     2580       8892       0.48   8352   0 svchost
    177      10     1848       7928       0.16   8896   0 svchost
    262      12     4400       8808       0.27   9672   0 svchost
    158      10     2140       7924       0.20   9940   0 svchost
    186      12     2516       9372       1.33  10076   0 svchost
    300      14     3520      19216       0.59  10156   1 svchost
    291      14     3968      10620       1.48  10452   0 svchost
    137       8     1756       5976       0.11  10524   0 svchost
    191      15     6760       8384       0.08  10732   0 svchost
    545      31    11680      18940       2.11  10768   0 svchost
    217      15     2360       9160       3.81  11108   0 svchost
    140       8     1604       6344       0.02  12328   1 svchost
    281      17     4808      14584      19.38  12644   0 svchost
    159       9     1852       9576       0.14  13796   0 svchost
    244      14     2920      10096       0.16  14688   1 svchost
